family_line_id,census_years,household_ids,reaches_1926,household_count
family-line::1901::Limerick::Duntryleague::Duntryleague::15::1506166,1901|1911|1926,1901::Limerick::Duntryleague::Duntryleague::15::1506166|1911::Limerick::Duntryleague::Duntryleague::4::634851|1926::Limerick::Duntryleague::Duntryleague::::272767,true,3
family-line::1901::Limerick::Glenbrohane::Knockaunavlyman::7::1491959,1901|1911|1926,1901::Limerick::Glenbrohane::Knockaunavlyman::7::1491959|1911::Limerick::Glenbrohane::Knockaunavlyman::7::620597|1926::Limerick::Glenbrohane::Knockaunavlyman::::402008,true,3
family-line::1901::Limerick::Ballylanders::Killeen::13::1505874,1901|1911|1926,1901::Limerick::Ballylanders::Killeen::13::1505874|1911::Limerick::Ballylanders::Killeen::10::634574|1926::Limerick::Ballylanders::Killeen::::380628,true,3
family-line::1901::Limerick::Emlygrennan::Cush::19::1491679,1901|1911|1926,1901::Limerick::Emlygrennan::Cush::19::1491679|1911::Limerick::Emlygrennan::Cush::21::620325|1926::Limerick::Emlygrennan::Cush::::228748,true,3
family-line::1901::Limerick::Hospital::Ballycahill::12::1490918,1901|1911|1926,1901::Limerick::Hospital::Ballycahill::12::1490918|1911::Limerick::Hospital::Ballycahill::7::619544|1926::Limerick::Hospital::Ballycahill::::44287,true,3
family-line::1901::Limerick::Glenbrohane::Ballyfroota::4::1491893,1901|1926,1901::Limerick::Glenbrohane::Ballyfroota::4::1491893|1926::Limerick::Glenbrohane::Ballyfroota::::50767,true,2
family-line::1926::Limerick::Hospital::Portboy::::528154,1926,1926::Limerick::Hospital::Portboy::::528154,true,1
family-line::1926::Limerick::Darragh::Darragh Moore::::230540,1926,1926::Limerick::Darragh::Darragh Moore::::230540,true,1
family-line::1926::Limerick::Knockainy::Knockainy Town::::399468,1926,1926::Limerick::Knockainy::Knockainy Town::::399468,true,1
family-line::1926::Tipperary::Emly::Nickers::::502764,1926,1926::Tipperary::Emly::Nickers::::502764,true,1
family-line::1926::Limerick::Duntryleague::Newtown::::500913,1926,1926::Limerick::Duntryleague::Newtown::::500913,true,1
family-line::1926::Limerick::Glenbrohane::Ballyfroota::::50772,1926,1926::Limerick::Glenbrohane::Ballyfroota::::50772,true,1
family-line::1926::Cork::Cobh Rural::Donegal::::244945,1926,1926::Cork::Cobh Rural::Donegal::::244945,true,1
family-line::1926::Limerick::Knockainy::Knockainy Town::::399464,1926,1926::Limerick::Knockainy::Knockainy Town::::399464,true,1
family-line::1926::Limerick::Limerick South Rural::Ballinacurra Town::::30390,1926,1926::Limerick::Limerick South Rural::Ballinacurra Town::::30390,true,1
family-line::1926::Limerick::Emlygrennan::Elton::::276995,1926,1926::Limerick::Emlygrennan::Elton::::276995,true,1
family-line::1926::Limerick::Kilflyn::Garryarthur::::303860,1926,1926::Limerick::Kilflyn::Garryarthur::::303860,true,1
family-line::1926::Tipperary::Cappagh::Ardnagassane::::16268,1926,1926::Tipperary::Cappagh::Ardnagassane::::16268,true,1
family-line::1926::Tipperary::Cullen::Ballynulty::::65968,1926,1926::Tipperary::Cullen::Ballynulty::::65968,true,1
