person_thread_id,normalized_name,census_years,observation_ids,reaches_1926
person-thread::john::5195852,john,1901|1911,5195852|273210,false
person-thread::catherine::5332989,catherine,1901,5332989,false
person-thread::michael::6330074,michael,1901,6330074,false
person-thread::william::6330075,william,1901,6330075,false
person-thread::john::6917888,john,1901|1911,6917888|2519539,false
person-thread::ellen::6917889,ellen,1901|1911,6917889|2519540,false
person-thread::alice::6917890,alice,1901,6917890,false
person-thread::martin::6917891,martin,1901|1911,6917891|2519542,false
person-thread::bridget::6917892,bridget,1901,6917892,false
person-thread::nora::6917893,nora,1901|1911,6917893|2519543,false
person-thread::patrick::6921810,patrick,1901,6921810,false
person-thread::eliza::6921811,eliza,1901,6921811,false
person-thread::patrick::6921812,patrick,1901,6921812,false
person-thread::ellon::6921813,ellon,1901,6921813,false
person-thread::denis::6921814,denis,1901|1911|1926,6921814|3239226|1506829,true
person-thread::thomas::6922890,thomas,1901,6922890,false
person-thread::margaret::6922891,margaret,1901,6922891,false
person-thread::mary::6922892,mary,1901,6922892,false
person-thread::mary::6922901,mary,1901,6922901,false
person-thread::patrick::6922909,patrick,1901,6922909,false
person-thread::martin::6922910,martin,1901,6922910,false
person-thread::catherine::6923209,catherine,1901,6923209,false
person-thread::patrick::6923211,patrick,1901,6923211,false
person-thread::bridget::6923212,bridget,1901,6923212,false
person-thread::william::6923213,william,1901|1911,6923213|3240514,false
person-thread::anne::6923214,anne,1901,6923214,false
person-thread::william::6923215,william,1901,6923215,false
person-thread::charles::7130324,charles,1901|1911,7130324|3165891,false
person-thread::ellin::7130325,ellin,1901,7130325,false
person-thread::catherine::7130326,catherine,1901,7130326,false
person-thread::lena::7130327,lena,1901,7130327,false
person-thread::thomas::7130328,thomas,1901|1911,7130328|3165895,false
person-thread::anne::7130329,anne,1901,7130329,false
person-thread::patrick::7130330,patrick,1901,7130330,false
person-thread::patrick::7130343,patrick,1901|1911,7130343|3165863,false
person-thread::julia::7130344,julia,1901|1911|1926,7130344|3165864|1361508,true
person-thread::mary::7130345,mary,1901|1911,7130345|3165865,false
person-thread::willie::7130346,willie,1901,7130346,false
person-thread::hannie::7130347,hannie,1901,7130347,false
person-thread::katie::7130348,katie,1901,7130348,false
person-thread::martin::7131866,martin,1901|1911|1926,7131866|3167257|1504942,true
person-thread::margaret::7131867,margaret,1901|1911|1926,7131867|3167258|1504943,true
person-thread::mary::7131868,mary,1901,7131868,false
person-thread::michael::7131869,michael,1901|1911,7131869|3167259,false
person-thread::denis::7131870,denis,1901|1911,7131870|3167260,false
person-thread::thomas john::7131871,thomas john,1901,7131871,false
person-thread::nora::7131872,nora,1901|1911|1926,7131872|3167262|1504945,true
person-thread::josephine::7131873,josephine,1901|1911,7131873|3167263,false
person-thread::james::7131981,james,1901,7131981,false
person-thread::margaret::7131982,margaret,1901,7131982,false
person-thread::bridget::7131983,bridget,1901,7131983,false
person-thread::pat::7388542,pat,1901,7388542,false
person-thread::andrew::7388543,andrew,1901|1911,7388543|3236945,false
person-thread::annie::7388544,annie,1901,7388544,false
person-thread::pat::7388545,pat,1901,7388545,false
person-thread::michael::7388547,michael,1901,7388547,false
person-thread::pat::7388548,pat,1901,7388548,false
person-thread::patrick::8227729,patrick,1901,8227729,false
person-thread::mary::8227730,mary,1901|1911,8227730|4112831,false
person-thread::thomas::8227731,thomas,1901|1911,8227731|4112832,false
person-thread::bridget::8227732,bridget,1901|1911,8227732|4112833,false
person-thread::sarah::8227733,sarah,1901,8227733,false
person-thread::mary anne::8227734,mary anne,1901,8227734,false
person-thread::ellen::8227735,ellen,1901|1911,8227735|4112834,false
person-thread::thomas::8228714,thomas,1901,8228714,false
person-thread::catherine::8228715,catherine,1901,8228715,false
person-thread::agnes::8228716,agnes,1901,8228716,false
person-thread::margaret::8228717,margaret,1901,8228717,false
person-thread::eily::8228718,eily,1901,8228718,false
person-thread::michael::8228719,michael,1901,8228719,false
person-thread::thomas::8228720,thomas,1901,8228720,false
person-thread::angela::8228721,angela,1901,8228721,false
person-thread::patrick::8228722,patrick,1901,8228722,false
person-thread::josephine::8228723,josephine,1901,8228723,false
