place,memberCount
Limerick | Glenbrohane | Ballyfroota,27
Limerick | Ballylanders | Killeen,27
Limerick | Duntryleague | Duntryleague,27
Limerick | Glenbrohane | Knockaunavlyman,19
Limerick | Hospital | Ballycahill,16
Limerick | Emlygrennan | Cush,12
Limerick | Knockainy | Rathanny,11
Tipperary | Emly | Nickeres,11
Tipperary | Shronell | Shronell Beg,11
Tipperary | Rodus | Ballyhone,10
Limerick | Darragh | Darragh More,7
Limerick | Hospital | Portboy,7
Tipperary | Rodus | Ballyhowe,6
Limerick | Darragh | Darragh Moore,6
Limerick | Duntryleague | Lackelly East,5
Limerick | Knockainy | Knockainy Town,5
Tipperary | Emly | Nickers,4
Limerick | Duntryleague | Newtown,3
Dublin | Arran Quay | Aberdeen Street,2
Cork | Cork Urban No. 5 | College Road,2
Cork | Cobh Rural | Donegal,2
Dublin | Glasnevin | Glasnevin Demesne,1
Cork | Cork No. 4 Urban (part of) | Rockwell Terrace,1
Limerick | Hospital | Hospital Town,1
Londonderry | Londonderry No. 5 Urban | Londonderry Workhouse,1
Wicklow | Baltinglass | Baltinglass West,1
Limerick | Limerick South Rural | Ballinacurra Town,1
Limerick | Emlygrennan | Elton,1
Limerick | Kilflyn | Garryarthur,1
Tipperary | Cappagh | Ardnagassane,1
Tipperary | Cullen | Ballynulty,1
Wexford | Wexford Number 2 Urban | Grogan's Road,1
Cork | Cork Number 3 Urban (North East Ward) | Middle Glanmire Road,1
